archivo;etapa;resultado;timestamp;mensaje;intento_num
COTIZACION 1911 CV (2)-1-1.pdf;OCR;OK;2025-12-18T14:19:32.798665;-;1
COTIZACION 1911 CV (2)-1-1.pdf;JSON;OK;2025-12-18T14:19:32.832432;-;1
COTIZACION 1911 CV (2)-2-2.pdf;OCR;OK;2025-12-18T14:19:35.516232;-;1
COTIZACION 1911 CV (2)-2-2.pdf;JSON;OK;2025-12-18T14:19:35.548391;-;1
COTIZACION 1911 CV (2)-3-3.pdf;OCR;OK;2025-12-18T14:19:37.281921;-;1
COTIZACION 1911 CV (2)-3-3.pdf;JSON;OK;2025-12-18T14:19:37.310146;-;1
COTIZACION 1911 CV (2)-4-4.pdf;OCR;OK;2025-12-18T14:19:41.613008;-;1
COTIZACION 1911 CV (2)-4-4.pdf;JSON;OK;2025-12-18T14:19:41.781525;-;1
COTIZACION 1911 CV (2)-5-5.pdf;OCR;OK;2025-12-18T14:19:44.158478;-;1
COTIZACION 1911 CV (2)-5-5.pdf;JSON;OK;2025-12-18T14:19:44.189705;-;1
COTIZACION 1911 CV (2)-6-6.pdf;OCR;OK;2025-12-18T14:19:46.689717;-;1
COTIZACION 1911 CV (2)-6-6.pdf;JSON;OK;2025-12-18T14:19:46.815096;-;1
COTIZACION 1911 CV (2)-3-3.pdf;JSON;OK;2025-12-18T14:29:22.343302;-;2
COTIZACION 1911 CV (2)-5-5.pdf;JSON;OK;2025-12-18T14:31:03.338725;-;2
COTIZACION 1911 CV (2)-5-5.pdf;JSON;OK;2025-12-18T14:31:39.026828;-;3
COTIZACION_1911_CV_2;COMPLETO;OK;2025-12-18T14:44:43.802983;6 PDFs procesados;1
PAQUETE_20251218145336;COMPLETO;OK;2025-12-18T14:53:53.963040;6 PDFs procesados;1
